Time (s),ECG,HR GT
2.8325,2216,N/A
2.8350,2112,N/A
2.8375,1968,N/A
2.8400,1808,N/A
2.8425,1632,N/A
2.8450,1452,N/A
2.8475,1250,N/A
2.8500,1084,N/A
2.8525,898,N/A
2.8550,728,N/A
2.8575,592,N/A
2.8600,532,N/A
2.8625,522,N/A
2.8650,489,N/A
2.8675,401,N/A
2.8700,320,N/A
2.8725,276,N/A
2.8750,304,N/A
2.8775,386,N/A
2.8800,464,N/A
2.8825,516,N/A
2.8850,522,N/A
2.8875,517,N/A
2.8900,560,N/A
2.8925,614,N/A
2.8950,705,N/A
2.8975,785,N/A
2.9000,840,N/A
2.9025,870,N/A
2.9050,892,N/A
2.9075,914,N/A
2.9100,908,N/A
2.9125,939,N/A
2.9150,997,N/A
2.9175,1029,N/A
2.9200,1024,N/A
2.9225,996,N/A
